period,x,m_mx,m_qx,m_lx,m_dx,m_ex,blank,f_mx,f_qx,f_lx,f_dx,f_ex
2009-2011,50,0.003163,0.0031580000000000002,95428.8,301.4,30.84,NA,0.002192,0.00219,97202.5,212.8,34.08
2009-2011,51,0.003583,0.003577,95127.4,340.3,29.93,NA,0.002323,0.002321,96989.6,225.1,33.16
2009-2011,52,0.003997,0.003989,94787.1,378.1,29.04,NA,0.002708,0.002704,96764.5,261.7,32.23
2009-2011,53,0.004364,0.004355,94409,411.1,28.15,NA,0.002886,0.002882,96502.9,278.1,31.32
2009-2011,54,0.004626,0.004615,93997.8,433.8,27.27,NA,0.003274,0.003268,96224.7,314.5,30.41
2009-2011,55,0.005295,0.005281,93564,494.2,26.4,NA,0.003423,0.003417,95910.2,327.7,29.51
2009-2011,56,0.005912,0.005895,93069.9,548.6,25.54,NA,0.003806,0.003799,95582.5,363.1,28.61
2009-2011,57,0.006254,0.006234,92521.3,576.8,24.68,NA,0.00416,0.004152,95219.4,395.3,27.71
2009-2011,58,0.007064,0.007039,91944.5,647.2,23.84,NA,0.004442,0.004432,94824.1,420.3,26.83
2009-2011,59,0.007512,0.007484,91297.3,683.2,23,NA,0.004972,0.00496,94403.8,468.2,25.94
2009-2011,60,0.008377,0.008342,90614.1,755.9,22.17,NA,0.005376,0.005361,93935.6,503.6,25.07
2009-2011,61,0.008911,0.008871,89858.2,797.2,21.35,NA,0.005827,0.00581,93432,542.9,24.2
2009-2011,62,0.009552,0.009507,89061,846.7,20.54,NA,0.006184,0.006165,92889.1,572.7,23.34
2009-2011,63,0.010565,0.010509,88214.3,927,19.73,NA,0.006835,0.006812,92316.4,628.9,22.48
2009-2011,64,0.011626,0.011558,87287.3,1008.9,18.94,NA,0.007506,0.007478,91687.6,685.7,21.63
2009-2011,65,0.012806,0.012725,86278.4,1097.9,18.15,NA,0.008235,0.008201,91001.9,746.3,20.79
2009-2011,66,0.014307,0.014205,85180.5,1210,17.38,NA,0.009161,0.009119,90255.6,823,19.96
2009-2011,67,0.015488,0.015369,83970.5,1290.5,16.62,NA,0.009784,0.009737,89432.6,870.8,19.14
2009-2011,68,0.017393,0.017243,82680,1425.7,15.88,NA,0.01101,0.010949,88561.8,969.7,18.32
2009-2011,69,0.01931,0.019125,81254.4,1554,15.14,NA,0.012232,0.012158,87592.1,1064.9,17.52
2009-2011,70,0.021375,0.021149,79700.4,1685.6,14.43,NA,0.013953,0.013856,86527.2,1198.9,16.73
2009-2011,71,0.023498,0.023225,78014.8,1811.9,13.73,NA,0.014878,0.014768,85328.3,1260.2,15.96
2009-2011,72,0.025985,0.025652,76202.9,1954.7,13.05,NA,0.016606,0.016469,84068.1,1384.5,15.19
2009-2011,73,0.028302,0.027907,74248.1,2072.1,12.38,NA,0.018227,0.018063,82683.6,1493.5,14.44
2009-2011,74,0.031634,0.031141,72176.1,2247.6,11.72,NA,0.020704,0.020492,81190.1,1663.7,13.69
2009-2011,75,0.034587,0.033999,69928.4,2377.5,11.08,NA,0.022825,0.022567,79526.3,1794.7,12.97
2009-2011,76,0.039196,0.038443,67551,2596.8,10.45,NA,0.025868,0.025538,77731.6,1985.1,12.26
2009-2011,77,0.043128,0.042217,64954.1,2742.2,9.85,NA,0.029261,0.028839,75746.5,2184.5,11.56
2009-2011,78,0.048136,0.047005,62211.9,2924.3,9.26,NA,0.033085,0.032547,73562.1,2394.2,10.89
2009-2011,79,0.053896,0.052482,59287.7,3111.5,8.69,NA,0.037419,0.036732,71167.8,2614.1,10.24
2009-2011,80,0.06126,0.05944,56176.1,3339.1,8.15,NA,0.042632,0.041742,68553.7,2861.6,9.61
2009-2011,81,0.068619,0.066343,52837.1,3505.3,7.63,NA,0.047733,0.04662,65692.1,3062.6,9.01
2009-2011,82,0.077148,0.074283,49331.7,3664.5,7.14,NA,0.05467,0.053215,62629.6,3332.9,8.43
2009-2011,83,0.085405,0.081907,45667.2,3740.5,6.67,NA,0.062478,0.060585,59296.7,3592.5,7.87
2009-2011,84,0.096592,0.092142,41926.7,3863.2,6.22,NA,0.070113,0.067739,55704.2,3773.3,7.35
2009-2011,85,0.108475,0.102895,38063.6,3916.5,5.8,NA,0.078839,0.075849,51930.9,3938.9,6.85
2009-2011,86,0.119758,0.112992,34147,3858.3,5.41,NA,0.08959,0.085749,47992,4115.2,6.37
2009-2011,87,0.135831,0.127193,30288.7,3852.5,5.03,NA,0.100662,0.095838,43876.7,4205.1,5.92
2009-2011,88,0.151549,0.140875,26436.2,3724.2,4.69,NA,0.11393,0.10779,39671.7,4276.2,5.49
2009-2011,89,0.174756,0.160713,22712,3650.1,4.38,NA,0.129474,0.121602,35395.5,4304.2,5.09
2009-2011,90,0.174662,0.160634,19061.9,3062,4.12,NA,0.141388,0.132052,31091.3,4105.7,4.73
2009-2011,91,0.195116,0.177773,15999.9,2844.3,3.82,NA,0.156554,0.145189,26985.6,3918,4.37
2009-2011,92,0.220273,0.19842,13155.6,2610.3,3.53,NA,0.182434,0.167184,23067.6,3856.5,4.03
2009-2011,93,0.245282,0.218487,10545.2,2304,3.28,NA,0.199362,0.181291,19211.1,3482.8,3.74
2009-2011,94,0.27065,0.23839,8241.2,1964.6,3.06,NA,0.223549,0.201074,15728.3,3162.5,3.46
2009-2011,95,0.294626,0.256797,6276.6,1611.8,2.86,NA,0.250898,0.222932,12565.7,2801.3,3.2
2009-2011,96,0.320491,0.276227,4664.8,1288.5,2.68,NA,0.273049,0.240249,9764.4,2345.9,2.98
2009-2011,97,0.349886,0.29779,3376.3,1005.4,2.51,NA,0.301918,0.262319,7418.5,1946,2.76
2009-2011,98,0.380861,0.319936,2370.8,758.5,2.36,NA,0.329793,0.283109,5472.5,1549.3,2.57
2009-2011,99,0.40017200000000003,0.333453,1612.3,537.6,2.24,NA,0.360941,0.305761,3923.2,1199.6,2.38
2009-2011,100,0.43988,0.360575,1074.7,387.5,2.11,NA,0.399264,0.332822,2723.6,906.5,2.21
2008-2010,0,0.00504,0.005027,100000,502.7,78.26,NA,0.004169,0.00416,100000,416,82.29
2008-2010,1,3.33e-4,3.33e-4,99497.3,33.1,77.66,NA,2.96e-4,2.96e-4,99584,29.5,81.63
2008-2010,2,1.85e-4,1.85e-4,99464.2,18.4,76.68,NA,1.72e-4,1.72e-4,99554.5,17.2,80.66
2008-2010,3,1.42e-4,1.42e-4,99445.8,14.1,75.7,NA,1.54e-4,1.54e-4,99537.4,15.3,79.67
2008-2010,4,1.1e-4,1.1e-4,99431.7,10.9,74.71,NA,1.25e-4,1.25e-4,99522.1,12.4,78.68
2008-2010,5,1.25e-4,1.25e-4,99420.8,12.4,73.72,NA,9.8e-5,9.8e-5,99509.7,9.8,77.69
2008-2010,6,9.6e-5,9.6e-5,99408.4,9.5,72.72,NA,8.7e-5,8.7e-5,99499.9,8.7,76.7
2008-2010,7,8.2e-5,8.2e-5,99398.9,8.1,71.73,NA,7.9e-5,7.9e-5,99491.3,7.9,75.71
2008-2010,8,1.11e-4,1.11e-4,99390.8,11,70.74,NA,8.8e-5,8.8e-5,99483.4,8.8,74.71
2008-2010,9,9.8e-5,9.8e-5,99379.7,9.7,69.75,NA,9.5e-5,9.5e-5,99474.6,9.4,73.72
2008-2010,10,9.5e-5,9.5e-5,99370,9.5,68.75,NA,7.3e-5,7.3e-5,99465.2,7.3,72.73
2008-2010,11,9.7e-5,9.7e-5,99360.6,9.6,67.76,NA,8.4e-5,8.4e-5,99457.9,8.4,71.73
2008-2010,12,1.03e-4,1.03e-4,99350.9,10.2,66.76,NA,8.8e-5,8.8e-5,99449.6,8.8,70.74
2008-2010,13,1.19e-4,1.19e-4,99340.7,11.8,65.77,NA,9.9e-5,9.9e-5,99440.8,9.8,69.74
2008-2010,14,1.39e-4,1.39e-4,99328.9,13.9,64.78,NA,1.21e-4,1.21e-4,99431,12,68.75
2008-2010,15,2.1e-4,2.1e-4,99315,20.9,63.79,NA,1.48e-4,1.48e-4,99419,14.7,67.76
2008-2010,16,2.74e-4,2.73e-4,99294.1,27.2,62.8,NA,1.61e-4,1.61e-4,99404.2,16,66.77
2008-2010,17,4.29e-4,4.29e-4,99267,42.6,61.82,NA,2e-4,2e-4,99388.3,19.8,65.78
2008-2010,18,5.31e-4,5.3e-4,99224.4,52.6,60.85,NA,2.31e-4,2.31e-4,99368.4,23,64.79
2008-2010,19,5.31e-4,5.3e-4,99171.7,52.6,59.88,NA,2.35e-4,2.35e-4,99345.4,23.4,63.81
2008-2010,20,6.11e-4,6.11e-4,99119.1,60.6,58.91,NA,2.29e-4,2.29e-4,99322.1,22.7,62.82
2008-2010,21,6.34e-4,6.34e-4,99058.5,62.8,57.94,NA,2.26e-4,2.26e-4,99299.4,22.4,61.84
2008-2010,22,6.06e-4,6.05e-4,98995.7,59.9,56.98,NA,2.11e-4,2.11e-4,99277,20.9,60.85
2008-2010,23,6.58e-4,6.58e-4,98935.8,65.1,56.02,NA,2.51e-4,2.51e-4,99256,24.9,59.86
2008-2010,24,6.33e-4,6.33e-4,98870.7,62.6,55.05,NA,2.42e-4,2.42e-4,99231.1,24,58.88
2008-2010,25,6.27e-4,6.27e-4,98808.1,61.9,54.09,NA,2.71e-4,2.71e-4,99207.1,26.9,57.89
2008-2010,26,7.03e-4,7.03e-4,98746.2,69.4,53.12,NA,2.94e-4,2.94e-4,99180.2,29.1,56.91
2008-2010,27,6.79e-4,6.79e-4,98676.8,67,52.16,NA,3.03e-4,3.03e-4,99151.1,30,55.92
2008-2010,28,7.39e-4,7.38e-4,98609.8,72.8,51.19,NA,3.41e-4,3.41e-4,99121,33.8,54.94
2008-2010,29,7.6e-4,7.59e-4,98537,74.8,50.23,NA,3.43e-4,3.43e-4,99087.3,34,53.96
2008-2010,30,8.36e-4,8.35e-4,98462.2,82.2,49.27,NA,3.86e-4,3.86e-4,99053.3,38.2,52.98
2008-2010,31,8.31e-4,8.31e-4,98379.9,81.7,48.31,NA,3.97e-4,3.96e-4,99015.1,39.3,52
2008-2010,32,8.91e-4,8.91e-4,98298.2,87.6,47.35,NA,4.63e-4,4.63e-4,98975.8,45.8,51.02
2008-2010,33,9.54e-4,9.53e-4,98210.6,93.6,46.39,NA,4.91e-4,4.91e-4,98930,48.6,50.04
2008-2010,34,0.001074,0.001074,98117,105.3,45.43,NA,5.46e-4,5.46e-4,98881.4,54,49.07
2008-2010,35,0.001173,0.001173,98011.6,114.9,44.48,NA,5.82e-4,5.81e-4,98827.5,57.5,48.09
2008-2010,36,0.001147,0.001146,97896.7,112.2,43.53,NA,6.04e-4,6.04e-4,98770,59.6,47.12
2008-2010,37,0.001244,0.001243,97784.5,121.5,42.58,NA,7.14e-4,7.14e-4,98710.4,70.4,46.15
2008-2010,38,0.001434,0.001433,97662.9,140,41.63,NA,7.76e-4,7.75e-4,98639.9,76.5,45.18
2008-2010,39,0.001456,0.001455,97523,141.9,40.69,NA,7.95e-4,7.94e-4,98563.5,78.3,44.22
2008-2010,40,0.001615,0.001614,97381.1,157.2,39.75,NA,9.4e-4,9.4e-4,98485.2,92.6,43.25
2008-2010,41,0.001718,0.001717,97223.9,166.9,38.82,NA,0.001023,0.001022,98392.6,100.6,42.29
2008-2010,42,0.001769,0.001768,97057,171.6,37.88,NA,0.001067,0.001067,98292,104.9,41.33
2008-2010,43,0.001923,0.001921,96885.4,186.1,36.95,NA,0.001197,0.001196,98187.1,117.4,40.38
2008-2010,44,0.002129,0.002127,96699.4,205.7,36.02,NA,0.001317,0.001316,98069.7,129.1,39.42
2008-2010,45,0.002315,0.002313,96493.7,223.2,35.09,NA,0.001426,0.001425,97940.7,139.6,38.48
2008-2010,46,0.002415,0.002413,96270.5,232.3,34.17,NA,0.001553,0.001552,97801,151.7,37.53
2008-2010,47,0.002583,0.00258,96038.3,247.8,33.26,NA,0.001653,0.001652,97649.3,161.3,36.59
2008-2010,48,0.002772,0.002768,95790.5,265.1,32.34,NA,0.001839,0.001838,97488,179.1,35.65
2008-2010,49,0.003065,0.00306,95525.3,292.3,31.43,NA,0.002011,0.002009,97308.9,195.5,34.71
2008-2010,50,0.003367,0.003361,95233,320.1,30.52,NA,0.002321,0.002318,97113.4,225.1,33.78
2008-2010,51,0.003733,0.003726,94913,353.7,29.62,NA,0.002431,0.002428,96888.2,235.3,32.86
2008-2010,52,0.004066,0.004058,94559.3,383.7,28.73,NA,0.002753,0.002749,96653,265.7,31.94
2008-2010,53,0.004427,0.004417,94175.6,416,27.85,NA,0.002952,0.002947,96387.3,284.1,31.02
2008-2010,54,0.004813,0.004801,93759.6,450.2,26.97,NA,0.00341,0.003404,96103.2,327.1,30.11
2008-2010,55,0.005467,0.005452,93309.4,508.7,26.1,NA,0.003551,0.003544,95776.1,339.5,29.22
2008-2010,56,0.00602,0.006002,92800.7,557,25.24,NA,0.003872,0.003864,95436.6,368.8,28.32
2008-2010,57,0.006469,0.006448,92243.7,594.8,24.39,NA,0.004197,0.004188,95067.8,398.2,27.43
2008-2010,58,0.007069,0.007044,91648.9,645.6,23.54,NA,0.00458,0.00457,94669.7,432.6,26.54
2008-2010,59,0.007765,0.007735,91003.3,703.9,22.71,NA,0.005086,0.005073,94237.1,478.1,25.66
2008-2010,60,0.00853,0.008494,90299.4,767,21.88,NA,0.005486,0.005471,93759,513,24.79
2008-2010,61,0.009005,0.008964,89532.4,802.6,21.06,NA,0.005973,0.005955,93246,555.3,23.92
2008-2010,62,0.009833,0.009785,88729.8,868.3,20.25,NA,0.006332,0.006312,92690.7,585.1,23.06
2008-2010,63,0.011048,0.010987,87861.6,965.4,19.44,NA,0.007048,0.007024,92105.6,646.9,22.2
2008-2010,64,0.012315,0.012239,86896.2,1063.6,18.65,NA,0.007882,0.007851,91458.7,718,21.36
2008-2010,65,0.01325,0.013162,85832.6,1129.8,17.88,NA,0.00846,0.008425,90740.7,764.5,20.52
2008-2010,66,0.014707,0.0146,84702.9,1236.7,17.11,NA,0.009284,0.009242,89976.2,831.5,19.69
2008-2010,67,0.016255,0.016124,83466.2,1345.8,16.36,NA,0.01017,0.010119,89144.7,902,18.87
2008-2010,68,0.018441,0.018272,82120.4,1500.5,15.62,NA,0.011455,0.01139,88242.7,1005.1,18.06
2008-2010,69,0.02026,0.020057,80619.9,1617,14.9,NA,0.012688,0.012608,87237.6,1099.9,17.26
2008-2010,70,0.021655,0.021423,79002.9,1692.4,14.19,NA,0.014217,0.014117,86137.7,1216,16.48
2008-2010,71,0.024081,0.023794,77310.4,1839.6,13.49,NA,0.01534,0.015223,84921.7,1292.8,15.7
2008-2010,72,0.026812,0.026457,75470.9,1996.8,12.81,NA,0.01697,0.016827,83628.9,1407.2,14.94
2008-2010,73,0.029734,0.029298,73474.1,2152.7,12.14,NA,0.019273,0.019089,82221.7,1569.6,14.19
2008-2010,74,0.032354,0.031839,71321.4,2270.8,11.5,NA,0.021583,0.021353,80652.1,1722.2,13.45
2008-2010,75,0.036385,0.035735,69050.7,2467.5,10.86,NA,0.02373,0.023452,78929.9,1851,12.74
2008-2010,76,0.04079,0.039975,66583.1,2661.7,10.24,NA,0.027131,0.026768,77078.9,2063.3,12.03
2008-2010,77,0.04525,0.044249,63921.5,2828.5,9.65,NA,0.030352,0.029898,75015.7,2242.8,11.35
2008-2010,78,0.050399,0.04916,61093,3003.4,9.07,NA,0.034389,0.033808,72772.8,2460.3,10.68
2008-2010,79,0.056664,0.055103,58089.6,3200.9,8.51,NA,0.039141,0.03839,70312.5,2699.3,10.04
2008-2010,80,0.063997,0.062013,54888.7,3403.8,7.98,NA,0.044631,0.043657,67613.3,2951.8,9.42
2008-2010,81,0.072081,0.069573,51484.9,3582,7.47,NA,0.05045,0.049209,64661.5,3181.9,8.82
2008-2010,82,0.079874,0.076806,47902.9,3679.3,7,NA,0.056785,0.055217,61479.6,3394.7,8.26
2008-2010,83,0.088413,0.08467,44223.7,3744.4,6.54,NA,0.064653,0.062628,58084.8,3637.8,7.71
2008-2010,84,0.100685,0.095859,40479.3,3880.3,6.09,NA,0.072804,0.070247,54447.1,3824.7,7.19
2008-2010,85,0.112821,0.106797,36599,3908.7,5.69,NA,0.082079,0.078843,50622.3,3991.2,6.7
2008-2010,86,0.125598,0.118176,32690.3,3863.2,5.31,NA,0.092402,0.088321,46631.1,4118.5,6.23
2008-2010,87,0.141181,0.131872,28827.1,3801.5,4.95,NA,0.104492,0.099304,42512.6,4221.7,5.78
2008-2010,88,0.158422,0.146795,25025.6,3673.6,4.63,NA,0.120055,0.113256,38291,4336.7,5.36
2008-2010,89,0.169601,0.156343,21352,3338.2,4.34,NA,0.12894,0.121131,33954.3,4112.9,4.98
2008-2010,90,0.177487,0.16302,18013.8,2936.6,4.05,NA,0.144832,0.135052,29841.4,4030.1,4.6
2008-2010,91,0.2054,0.18627,15077.2,2808.4,3.74,NA,0.167747,0.154766,25811.2,3994.7,4.24
2008-2010,92,0.223624,0.201134,12268.7,2467.7,3.48,NA,0.18847,0.172239,21816.5,3757.7,3.93
2008-2010,93,0.245668,0.218793,9801.1,2144.4,3.24,NA,0.207862,0.188293,18058.9,3400.4,3.64
2008-2010,94,0.273797,0.240828,7656.7,1843.9,3,NA,0.232772,0.208505,14658.5,3056.4,3.37
2008-2010,95,0.301953,0.262345,5812.7,1524.9,2.8,NA,0.256955,0.227701,11602.1,2641.8,3.12
2008-2010,96,0.331648,0.284475,4287.8,1219.8,2.61,NA,0.28351,0.24831,8960.3,2224.9,2.9
2008-2010,97,0.357802,0.303505,3068,931.2,2.45,NA,0.310418,0.268712,6735.4,1809.9,2.69
2008-2010,98,0.388222,0.325114,2136.9,694.7,2.3,NA,0.345516,0.294619,4925.5,1451.1,2.5
2008-2010,99,0.4095,0.339905,1442.1,490.2,2.17,NA,0.372882,0.314286,3474.4,1091.9,2.33
2008-2010,100,0.473165,0.38264,951.9,364.3,2.03,NA,0.405769,0.33733,2382.4,803.7,2.17
2007-2009,0,0.005278,0.005264,100000,526.4,77.95,NA,0.004274,0.004265,100000,426.5,82.05
2007-2009,1,3.61e-4,3.61e-4,99473.6,35.9,77.36,NA,2.93e-4,2.93e-4,99573.5,29.2,81.4
2007-2009,2,2.19e-4,2.19e-4,99437.6,21.8,76.38,NA,1.92e-4,1.92e-4,99544.3,19.1,80.43
2007-2009,3,1.51e-4,1.51e-4,99415.9,15,75.4,NA,1.61e-4,1.61e-4,99525.2,16,79.44
2007-2009,4,1.25e-4,1.25e-4,99400.9,12.4,74.41,NA,1.26e-4,1.26e-4,99509.2,12.5,78.45
2007-2009,5,1.3e-4,1.3e-4,99388.5,12.9,73.42,NA,1.02e-4,1.02e-4,99496.7,10.1,77.46
2007-2009,6,1.04e-4,1.04e-4,99375.6,10.3,72.43,NA,8.8e-5,8.8e-5,99486.5,8.8,76.47
2007-2009,7,9.1e-5,9.1e-5,99365.3,9,71.44,NA,7.7e-5,7.7e-5,99477.8,7.7,75.48
2007-2009,8,1.16e-4,1.16e-4,99356.3,11.5,70.45,NA,7e-5,7e-5,99470.1,7,74.48
2007-2009,9,9.7e-5,9.7e-5,99344.7,9.6,69.45,NA,9.4e-5,9.4e-5,99463.1,9.3,73.49
2007-2009,10,8.6e-5,8.6e-5,99335.1,8.5,68.46,NA,9.1e-5,9.1e-5,99453.8,9,72.5
2007-2009,11,9.9e-5,9.9e-5,99326.6,9.9,67.47,NA,9.4e-5,9.4e-5,99444.7,9.3,71.5
2007-2009,12,1.07e-4,1.07e-4,99316.7,10.6,66.47,NA,1e-4,1e-4,99435.4,10,70.51
2007-2009,13,1.42e-4,1.42e-4,99306.1,14.1,65.48,NA,1.09e-4,1.09e-4,99425.4,10.8,69.52
2007-2009,14,1.6e-4,1.6e-4,99292,15.9,64.49,NA,1.15e-4,1.15e-4,99414.6,11.4,68.52
2007-2009,15,2.45e-4,2.45e-4,99276.1,24.3,63.5,NA,1.38e-4,1.38e-4,99403.2,13.7,67.53
2007-2009,16,3.08e-4,3.08e-4,99251.8,30.6,62.51,NA,1.67e-4,1.67e-4,99389.5,16.6,66.54
2007-2009,17,4.69e-4,4.69e-4,99221.2,46.5,61.53,NA,2.05e-4,2.05e-4,99372.9,20.3,65.55
2007-2009,18,5.46e-4,5.46e-4,99174.7,54.1,60.56,NA,2.43e-4,2.43e-4,99352.6,24.1,64.56
2007-2009,19,5.98e-4,5.98e-4,99120.6,59.2,59.6,NA,2.39e-4,2.39e-4,99328.4,23.7,63.58
2007-2009,20,6.55e-4,6.54e-4,99061.3,64.8,58.63,NA,2.31e-4,2.31e-4,99304.7,22.9,62.6
2007-2009,21,6.62e-4,6.62e-4,98996.5,65.5,57.67,NA,2.64e-4,2.64e-4,99281.8,26.2,61.61
2007-2009,22,6.35e-4,6.35e-4,98931,62.8,56.71,NA,2.32e-4,2.32e-4,99255.6,23,60.63
2007-2009,23,6.62e-4,6.62e-4,98868.1,65.5,55.74,NA,2.43e-4,2.43e-4,99232.5,24.1,59.64
2007-2009,24,6.64e-4,6.64e-4,98802.7,65.6,54.78,NA,2.53e-4,2.53e-4,99208.4,25.1,58.65
2007-2009,25,6.68e-4,6.68e-4,98737,66,53.81,NA,2.67e-4,2.67e-4,99183.3,26.4,57.67
2007-2009,26,7.57e-4,7.57e-4,98671.1,74.7,52.85,NA,3.04e-4,3.04e-4,99156.8,30.1,56.68
2007-2009,27,7.08e-4,7.07e-4,98596.4,69.7,51.89,NA,2.76e-4,2.76e-4,99126.7,27.3,55.7
2007-2009,28,7.98e-4,7.98e-4,98526.7,78.6,50.93,NA,3.26e-4,3.26e-4,99099.4,32.3,54.72
2007-2009,29,7.68e-4,7.67e-4,98448.1,75.5,49.97,NA,3.76e-4,3.76e-4,99067.1,37.3,53.73
2007-2009,30,8.64e-4,8.64e-4,98372.6,85,49,NA,3.81e-4,3.81e-4,99029.8,37.7,52.75
2007-2009,31,8.73e-4,8.73e-4,98287.6,85.8,48.05,NA,4.01e-4,4.01e-4,98992.1,39.7,51.77
2007-2009,32,9.44e-4,9.43e-4,98201.8,92.6,47.09,NA,4.63e-4,4.63e-4,98952.4,45.8,50.79
2007-2009,33,0.00102,0.00102,98109.2,100,46.13,NA,5.02e-4,5.02e-4,98906.6,49.7,49.82
2007-2009,34,0.001095,0.001095,98009.2,107.3,45.18,NA,5.8e-4,5.8e-4,98856.9,57.4,48.84
2007-2009,35,0.001239,0.001239,97901.9,121.3,44.23,NA,5.85e-4,5.85e-4,98799.5,57.8,47.87
2007-2009,36,0.001193,0.001192,97780.6,116.6,43.28,NA,5.65e-4,5.65e-4,98741.7,55.8,46.9
2007-2009,37,0.001256,0.001255,97664.1,122.6,42.33,NA,6.87e-4,6.86e-4,98685.9,67.7,45.92
2007-2009,38,0.001402,0.001401,97541.5,136.6,41.39,NA,7.66e-4,7.66e-4,98618.2,75.5,44.96
2007-2009,39,0.001466,0.001465,97404.9,142.7,40.44,NA,8.4e-4,8.39e-4,98542.7,82.7,43.99
2007-2009,40,0.001613,0.001611,97262.2,156.7,39.5,NA,9.76e-4,9.75e-4,98460,96,43.03
2007-2009,41,0.001699,0.001697,97105.5,164.8,38.56,NA,0.001026,0.001026,98363.9,100.9,42.07
2007-2009,42,0.001845,0.001843,96940.7,178.7,37.63,NA,0.00109,0.00109,98263,107.1,41.11
2007-2009,43,0.001943,0.001941,96762,187.8,36.7,NA,0.00122,0.001219,98155.9,119.6,40.15
2007-2009,44,0.002041,0.002039,96574.2,196.9,35.77,NA,0.001305,0.001304,98036.3,127.8,39.2
2007-2009,45,0.002289,0.002286,96377.2,220.4,34.84,NA,0.00149,0.001489,97908.5,145.7,38.25
2007-2009,46,0.002437,0.002434,96156.9,234.1,33.92,NA,0.0015790000000000001,0.001577,97762.7,154.2,37.31
2007-2009,47,0.002622,0.002618,95922.8,251.2,33,NA,0.001693,0.001691,97608.5,165.1,36.37
2007-2009,48,0.002818,0.002814,95671.6,269.2,32.09,NA,0.001921,0.001919,97443.4,187,35.43
2007-2009,49,0.003138,0.003133,95402.4,298.9,31.17,NA,0.002025,0.002023,97256.4,196.7,34.5
2007-2009,50,0.003422,0.003416,95103.5,324.8,30.27,NA,0.002416,0.002413,97059.7,234.2,33.56
2007-2009,51,0.003812,0.003805,94778.7,360.6,29.37,NA,0.002459,0.002456,96825.5,237.8,32.64
2007-2009,52,0.004107,0.004098,94418.1,387,28.48,NA,0.00271,0.002706,96587.7,261.4,31.72
2007-2009,53,0.004633,0.004622,94031.1,434.6,27.6,NA,0.003019,0.003015,96326.3,290.4,30.81
2007-2009,54,0.004988,0.004976,93596.5,465.7,26.72,NA,0.00346,0.003454,96036,331.7,29.9
2007-2009,55,0.005695,0.005679,93130.7,528.8,25.86,NA,0.003673,0.003666,95704.3,350.9,29
2007-2009,56,0.006123,0.006105,92601.9,565.3,25,NA,0.003933,0.003925,95353.4,374.3,28.11
2007-2009,57,0.006534,0.006513,92036.6,599.4,24.15,NA,0.004227,0.004218,94979.2,400.6,27.22
2007-2009,58,0.007264,0.007238,91437.1,661.8,23.31,NA,0.00457,0.004559,94578.6,431.2,26.33
2007-2009,59,0.007906,0.007875,90775.3,714.9,22.47,NA,0.005138,0.005125,94147.3,482.5,25.45
2007-2009,60,0.008384,0.008349,90060.4,751.9,21.65,NA,0.005502,0.005487,93664.9,513.9,24.58
2007-2009,61,0.0093,0.009257,89308.5,826.7,20.82,NA,0.00616,0.006141,93150.9,572,23.71
2007-2009,62,0.010221,0.010169,88481.8,899.8,20.01,NA,0.006456,0.006435,92578.9,595.8,22.85
2007-2009,63,0.011566,0.011499,87582,1007.1,19.22,NA,0.00749,0.007462,91983.1,686.4,22
2007-2009,64,0.012653,0.012574,86574.9,1088.5,18.43,NA,0.008088,0.008055,91296.7,735.4,21.16
2007-2009,65,0.0138,0.013705,85486.3,1171.6,17.66,NA,0.008623,0.008586,90561.3,777.6,20.33
2007-2009,66,0.015347,0.01523,84314.7,1284.2,16.9,NA,0.009636,0.00959,89783.7,861,19.5
2007-2009,67,0.01683,0.01669,83030.6,1385.8,16.15,NA,0.010644,0.010588,88922.7,941.5,18.68
2007-2009,68,0.019095,0.018915,81644.8,1544.3,15.42,NA,0.011709,0.011641,87981.3,1024.2,17.88
2007-2009,69,0.020727,0.020514,80100.5,1643.2,14.71,NA,0.012985,0.012901,86957.1,1121.8,17.08
2007-2009,70,0.022055,0.021814,78457.3,1711.5,14,NA,0.014584,0.014479,85835.3,1242.8,16.3
2007-2009,71,0.024673,0.024372,76745.8,1870.5,13.31,NA,0.015755,0.015632,84592.5,1322.3,15.53
2007-2009,72,0.027511,0.027138,74875.4,2032,12.63,NA,0.017476,0.017324,83270.1,1442.6,14.77
2007-2009,73,0.030488,0.030031,72843.4,2187.5,11.96,NA,0.019906,0.01971,81827.5,1612.8,14.02
2007-2009,74,0.033406,0.032857,70655.8,2321.5,11.32,NA,0.022386,0.022139,80214.7,1775.8,13.29
2007-2009,75,0.037785,0.037084,68334.3,2534.1,10.69,NA,0.024569,0.024271,78438.9,1903.8,12.58
2007-2009,76,0.042536,0.041651,65800.2,2740.6,10.08,NA,0.028167,0.027776,76535.1,2125.8,11.88
2007-2009,77,0.046902,0.045828,63059.6,2889.9,9.49,NA,0.031405,0.03092,74409.2,2300.7,11.21
2007-2009,78,0.052073,0.050752,60169.7,3053.7,8.93,NA,0.035359,0.034744,72108.5,2505.4,10.55
2007-2009,79,0.05909,0.057394,57116,3278.1,8.38,NA,0.040622,0.039813,69603.2,2771.1,9.91
2007-2009,80,0.066149,0.064032,53837.9,3447.3,7.86,NA,0.046419,0.045367,66832,3031.9,9.3
2007-2009,81,0.074377,0.07171,50390.6,3613.5,7.36,NA,0.052148,0.050823,63800.1,3242.5,8.72
2007-2009,82,0.083002,0.079694,46777.1,3727.9,6.89,NA,0.058406,0.056749,60557.6,3436.6,8.16
