period,x,m_mx,m_qx,m_lx,m_dx,m_ex,blank,f_mx,f_qx,f_lx,f_dx,f_ex
2014-2016,81,0.062552,0.060655,55475.8,3364.9,7.82,NA,0.045302,0.044298,67318.7,2982.1,9.08
2014-2016,82,0.071333,0.068876,52110.9,3589.2,7.3,NA,0.051521,0.050227,64336.6,3231.4,8.48
2014-2016,83,0.080856,0.077714,48521.7,3770.8,6.8,NA,0.059252,0.057547,61105.1,3516.4,7.9
2014-2016,84,0.090256,0.086359,44750.9,3864.6,6.33,NA,0.067585,0.065376,57588.7,3764.9,7.35
2014-2016,85,0.102847,0.097817,40886.3,3999.4,5.88,NA,0.076457,0.073642,53823.8,3963.7,6.83
2014-2016,86,0.11471,0.108487,36886.9,4001.8,5.46,NA,0.087489,0.083823,49860.1,4179.4,6.33
2014-2016,87,0.128897,0.121093,32885.1,3982.1,5.07,NA,0.100045,0.095279,45680.7,4352.4,5.87
2014-2016,88,0.14598,0.13605,28903,3932.2,4.7,NA,0.113149,0.107091,41328.3,4425.9,5.43
2014-2016,89,0.162124,0.149968,24970.8,3744.8,4.36,NA,0.129148,0.121314,36902.4,4476.8,5.02
2014-2016,90,0.178756,0.16409,21225.9,3483,4.04,NA,0.145344,0.135497,32425.6,4393.6,4.65
2014-2016,91,0.198499,0.180577,17743,3204,3.73,NA,0.161376,0.149327,28032,4185.9,4.3
2014-2016,92,0.222552,0.200267,14539,2911.7,3.45,NA,0.182786,0.167479,23846.1,3993.7,3.97
2014-2016,93,0.250546,0.222653,11627.3,2588.9,3.18,NA,0.203777,0.184934,19852.4,3671.4,3.66
2014-2016,94,0.271663,0.239175,9038.5,2161.8,2.95,NA,0.225771,0.20287,16181,3282.6,3.38
2014-2016,95,0.303877,0.263796,6876.7,1814,2.72,NA,0.25339,0.224897,12898.3,2900.8,3.11
2014-2016,96,0.338281,0.289342,5062.6,1464.8,2.52,NA,0.282638,0.247641,9997.6,2475.8,2.87
2014-2016,97,0.375459,0.316115,3597.8,1137.3,2.34,NA,0.31927,0.275319,7521.7,2070.9,2.65
2014-2016,98,0.41361,0.342731,2460.5,843.3,2.2,NA,0.346162,0.295088,5450.9,1608.5,2.47
2014-2016,99,0.431708,0.355066,1617.2,574.2,2.08,NA,0.378088,0.317977,3842.4,1221.8,2.3
2014-2016,100,0.482891,0.388975,1043,405.7,1.95,NA,0.403932,0.33606,2620.6,880.7,2.14
2013-2015,0,0.004309,0.0043,100000,430,79.32,NA,0.003492,0.003485,100000,348.5,83.01
2013-2015,1,3.3e-4,3.3e-4,99570,32.8,78.66,NA,2.62e-4,2.62e-4,99651.5,26.1,82.3
2013-2015,2,1.66e-4,1.66e-4,99537.2,16.6,77.68,NA,1.35e-4,1.35e-4,99625.3,13.4,81.32
2013-2015,3,1.23e-4,1.23e-4,99520.6,12.2,76.7,NA,1.19e-4,1.19e-4,99611.9,11.8,80.33
2013-2015,4,9.6e-5,9.6e-5,99508.4,9.5,75.71,NA,7.9e-5,7.9e-5,99600.1,7.8,79.34
2013-2015,5,8.7e-5,8.7e-5,99498.9,8.7,74.71,NA,7.5e-5,7.5e-5,99592.3,7.5,78.35
2013-2015,6,8.8e-5,8.8e-5,99490.2,8.8,73.72,NA,7.7e-5,7.7e-5,99584.7,7.7,77.35
2013-2015,7,9.8e-5,9.8e-5,99481.4,9.8,72.73,NA,7.9e-5,7.9e-5,99577,7.9,76.36
2013-2015,8,7e-5,7e-5,99471.6,7,71.73,NA,7.4e-5,7.4e-5,99569.1,7.4,75.37
2013-2015,9,8.9e-5,8.9e-5,99464.6,8.9,70.74,NA,6.9e-5,6.9e-5,99561.8,6.8,74.37
2013-2015,10,9.8e-5,9.8e-5,99455.7,9.8,69.75,NA,7.3e-5,7.3e-5,99554.9,7.3,73.38
2013-2015,11,8.8e-5,8.8e-5,99445.9,8.7,68.75,NA,5.8e-5,5.8e-5,99547.7,5.8,72.38
2013-2015,12,1.02e-4,1.02e-4,99437.2,10.1,67.76,NA,6.2e-5,6.2e-5,99541.9,6.1,71.39
2013-2015,13,1.1e-4,1.1e-4,99427.1,11,66.76,NA,1.01e-4,1.01e-4,99535.7,10.1,70.39
2013-2015,14,1.19e-4,1.19e-4,99416.1,11.9,65.77,NA,1.18e-4,1.18e-4,99525.6,11.7,69.4
2013-2015,15,1.58e-4,1.58e-4,99404.3,15.7,64.78,NA,1.35e-4,1.35e-4,99513.9,13.4,68.41
2013-2015,16,2.09e-4,2.09e-4,99388.6,20.8,63.79,NA,1.52e-4,1.52e-4,99500.5,15.1,67.41
2013-2015,17,2.81e-4,2.81e-4,99367.8,27.9,62.8,NA,1.41e-4,1.41e-4,99485.4,14,66.42
2013-2015,18,4.02e-4,4.02e-4,99339.9,39.9,61.82,NA,1.99e-4,1.99e-4,99471.3,19.8,65.43
2013-2015,19,4.56e-4,4.56e-4,99300,45.2,60.85,NA,2.01e-4,2.01e-4,99451.6,20,64.45
2013-2015,20,4.42e-4,4.42e-4,99254.7,43.9,59.87,NA,1.96e-4,1.96e-4,99431.5,19.5,63.46
2013-2015,21,4.64e-4,4.64e-4,99210.8,46,58.9,NA,1.97e-4,1.97e-4,99412.1,19.5,62.47
2013-2015,22,4.55e-4,4.55e-4,99164.8,45.1,57.93,NA,2.15e-4,2.15e-4,99392.5,21.4,61.48
2013-2015,23,5.3e-4,5.3e-4,99119.7,52.5,56.95,NA,2.29e-4,2.29e-4,99371.2,22.8,60.5
2013-2015,24,5.27e-4,5.27e-4,99067.2,52.2,55.98,NA,2.1e-4,2.1e-4,99348.4,20.9,59.51
2013-2015,25,5.57e-4,5.57e-4,99015,55.2,55.01,NA,2.39e-4,2.39e-4,99327.5,23.7,58.52
2013-2015,26,5.94e-4,5.94e-4,98959.9,58.8,54.04,NA,2.69e-4,2.69e-4,99303.7,26.7,57.54
2013-2015,27,6.08e-4,6.08e-4,98901.1,60.1,53.07,NA,2.56e-4,2.56e-4,99277,25.4,56.55
2013-2015,28,5.97e-4,5.97e-4,98841,59,52.11,NA,3.19e-4,3.19e-4,99251.6,31.7,55.57
2013-2015,29,6.43e-4,6.43e-4,98782,63.5,51.14,NA,3.4e-4,3.4e-4,99219.9,33.7,54.58
