...1,...2,90 & over3,4,90-993,100 & over3,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105 & over
NA,2009,265140,256820,8320,51960,42210,39010,33890,27940,21680,16210,11170,7590,5160,3320,2230,1270,720,370,410
NA,2010,282760,274350,8410,77580,43050,34290,30950,26350,21330,16010,11710,7910,5180,3400,2070,1370,740,420,420
NA,2011,302610,293850,8760,75150,66370,36190,28280,24970,20690,16300,11930,8470,5510,3490,2230,1300,810,440,490
NA,2012,316830,307620,9210,72510,64480,56030,29800,22840,19600,15740,12100,8630,5880,3740,2280,1390,820,470,520
NA,2013,323100,313690,9400,70510,61670,53830,45680,23710,17650,14720,11490,8610,5820,3870,2380,1390,810,430,530
NA,2014,334840,324820,10030,70510,61080,52510,44880,37410,18910,13630,11190,8460,6250,4040,2580,1510,870,500,510
NA,2015,334620,324680,9950,69840,59780,50690,42550,35570,28830,14090,9800,7780,5750,4020,2560,1510,870,490,500
NA,2016,340470,330320,10150,70230,60070,50460,41860,34520,28070,22090,10500,7110,5420,3920,2620,1630,910,520,550
NA,2017,341910,332030,9870,70150,59900,50420,41290,33580,26870,21180,16300,7440,4890,3640,2540,1630,970,530,560
NA,2018,341490,332410,9080,70240,59820,50070,41090,32950,26000,20230,15420,11480,5110,3240,2300,1500,940,520,580
NA,2019,351040,341550,9490,72400,60850,50920,41830,33750,26410,20320,15350,11430,8290,3590,2210,1520,950,590,630
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Notes:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 Please note these figures are estimates. Although they are rounded to the nearest ten people, they cannot be guaranteed to be precise even to that level of detail.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 The method used to produce the estimates updates the back years so figures for previous years are revised each time estimates are produced for the latest year. This is why the figures are labelled as provisional.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 Figures may not add due to rounding.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 The 90 & over totals are also rounded to the nearest 10 in the table for consistency. However, please note that unrounded 90 & over totals are published in the Mid Year Estimates,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Source:  Office for National Statistics,NA,NA,NA,Released,44098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
