...1,...2,90 & over3,4,90-993,100 & over3,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105 & over
NA,2015,20780,20150,630,4340,3690,3050,2700,2220,1730,920,680,490,320,250,170,90,60,40,30
NA,2016,20860,20270,590,4450,3680,3050,2490,2110,1680,1300,680,480,340,210,160,100,50,30,40
NA,2017,20780,20240,540,4330,3750,3060,2490,1960,1650,1270,940,490,310,210,120,100,60,30,40
NA,2018,20460,19910,550,4070,3630,3120,2500,1970,1520,1220,910,670,320,210,130,80,60,30,40
NA,2019,20830,20250,580,4290,3490,3080,2600,2010,1540,1160,920,680,470,220,140,90,50,30,40
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Notes:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 Please note these figures are estimates. Although they are rounded to the nearest ten people, they cannot be guaranteed to be precise even to that level of detail.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 The method used to produce the estimates updates the back years so figures for previous years are revised each time estimates are produced for the latest year. This is why the figures are labelled as provisional.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 Figures may not add due to rounding.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 The 90 & over totals are also rounded to the nearest 10 in the table for consistency. However, please note that unrounded 90 & over totals are published in the Mid Year Estimates,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Source:  Office for National Statistics,NA,NA,NA,Released,44098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
